Close,High,Low,Open,Volume,Volume_missing,ffill_volume,bfill_volume,interpolted_volume,Moving_avg_volume
67929.5625,70041.2734375,66356.953125,69121.3046875,41895680979,41895680979.0,41895680979.0,41895680979.0,41895680979.0,40543416228.666664
68526.1015625,69220.296875,66622.671875,67928.1328125,29197308153,29197308153.0,29197308153.0,29197308153.0,29197308153.0,34631850283.0
69265.9453125,69579.3203125,68515.8203125,68526.921875,15473071741,15473071741.0,15473071741.0,15473071741.0,15473071741.0,28855353624.333332
68518.09375,69506.2265625,68183.890625,69264.2890625,15628433737,15628433737.0,15628433737.0,15628433737.0,15628433737.0,20099604543.666668
69394.5546875,70597.8828125,68232.5,68512.1796875,25870990717,25870990717.0,25870990717.0,25870990717.0,25870990717.0,18990832065.0
68296.21875,69514.640625,67227.15625,69392.1953125,32722265965,32722265965.0,32722265965.0,32722265965.0,32722265965.0,24740563473.0
67578.09375,68852.4609375,67101.4921875,68296.3515625,26707072906,26707072906.0,26707072906.0,26707072906.0,26707072906.0,28433443196.0
68364.9921875,69500.5390625,67118.078125,67576.0859375,29509712534,29509712534.0,29509712534.0,29509712534.0,29509712534.0,29646350468.333332
67491.4140625,68999.5625,66633.421875,68362.515625,27387283769,27387283769.0,27387283769.0,27387283769.0,27387283769.0,27868023069.666668
67706.9375,67839.765625,67386.1953125,67489.609375,11641495604,11641495604.0,11641495604.0,11641495604.0,11641495604.0,22846163969.0
67751.6015625,68409.1640625,67315.5234375,67710.2734375,17110588415,17110588415.0,17110588415.0,17110588415.0,17110588415.0,18713122596.0
68804.78125,70230.8203125,67589.8359375,67753.8984375,32401285324,32401285324.0,32401285324.0,32401285324.0,32401285324.0,20384456447.666668
70567.765625,71047.40625,68564.640625,68804.5703125,33149696545,33149696545.0,33149696545.0,33149696545.0,33149696545.0,27553856761.333332
71082.8203125,71735.4140625,70390.7109375,70568.3515625,32810771409,32810771409.0,32810771409.0,32810771409.0,32810771409.0,32787251092.666668
70757.1640625,71625.734375,70119.125,71082.84375,25223152007,25223152007.0,25223152007.0,25223152007.0,25223152007.0,30394539987.0
69342.5859375,71907.8515625,68507.2578125,70759.1875,36188381096,36188381096.0,36188381096.0,36188381096.0,36188381096.0,31407434837.333332
69305.7734375,69533.3203125,69210.7421875,69324.1796875,14262185861,14262185861.0,14262185861.0,14262185861.0,14262185861.0,25224572988.0
69647.9921875,69817.5234375,69160.84375,69297.4921875,13534028500,13534028500.0,13534028500.0,13534028500.0,13534028500.0,21328198485.666668
69512.28125,70146.0703125,69232.421875,69644.3125,20597699541,20597699541.0,20597699541.0,20597699541.0,20597699541.0,16131304634.0
67332.03125,69549.4140625,66123.6015625,69508.078125,37116136345,37116136345.0,37116136345.0,37116136345.0,37116136345.0,23749288128.666668
68241.1875,69977.890625,66902.453125,67321.375,34497940694,34497940694.0,34497940694.0,34497940694.0,34497940694.0,30737258860.0
66756.3984375,68365.78125,66304.5625,68243.1015625,28955204146,28955204146.0,28955204146.0,28955204146.0,28955204146.0,33523093728.333332
66011.09375,67294.6484375,65056.89453125,66747.5703125,27403884779,27403884779.0,27403884779.0,27403884779.0,27403884779.0,30285676539.666668
66191.0,66402.1875,65871.7734375,66006.7421875,14121265576,14121265576.0,14121265576.0,14121265576.0,14121265576.0,23493451500.333332
66639.046875,66894.84375,66018.25,66189.359375,13281140541,13281140541.0,13281140541.0,13281140541.0,13281140541.0,18268763632.0
66490.296875,67188.3203125,65094.96484375,66636.515625,30006354476,30006354476.0,30006354476.0,30006354476.0,30006354476.0,19136253531.0
65140.74609375,66556.703125,64066.95703125,66490.9765625,39481285950,39481285950.0,39481285950.0,39481285950.0,39481285950.0,27589593655.666668
64960.296875,65695.3515625,64693.30078125,65146.66015625,21103423504,21103423504.0,21103423504.0,21103423504.0,21103423504.0,30197021310.0
64828.65625,66438.9609375,64547.84765625,64960.296875,25641109124,25641109124.0,25641109124.0,25641109124.0,25641109124.0,28741939526.0
64096.19921875,65007.546875,63378.89453125,64837.98828125,26188171739,26188171739.0,26188171739.0,26188171739.0,26188171739.0,24310901455.666668
64252.578125,64475.46875,63929.7578125,64113.86328125,9858198793,9858198793.0,9858198793.0,9858198793.0,9858198793.0,20562493218.666668
63180.796875,64491.703125,63180.796875,64248.96484375,11170471802,11170471802.0,11170471802.0,11170471802.0,11170471802.0,15738947444.666666
60277.4140625,63292.52734375,58601.69921875,63173.3515625,43152133651,43152133651.0,43152133651.0,43152133651.0,43152133651.0,21393601415.333332
61804.640625,62258.26171875,60239.75,60266.28125,29201215431,29201215431.0,29201215431.0,29201215431.0,29201215431.0,27841273628.0
60811.27734375,62434.13671875,60695.1875,61789.67578125,22506003064,22506003064.0,22506003064.0,22506003064.0,22506003064.0,31619784048.666668
61604.80078125,62293.86328125,60585.33203125,60811.2265625,21231745045,21231745045.0,21231745045.0,21231745045.0,21231745045.0,24312987846.666668
60320.13671875,62126.09765625,59985.40234375,61612.8046875,24952866877,24952866877.0,24952866877.0,24952866877.0,24952866877.0,22896871662.0
60887.37890625,61097.62109375,60300.96484375,60319.875,12652903396,12652903396.0,12652903396.0,12652903396.0,12652903396.0,19612505106.0
62678.29296875,62892.828125,60632.94921875,60888.4453125,17333226409,17333226409.0,17333226409.0,17333226409.0,17333226409.0,18312998894.0
62851.98046875,63777.2265625,62495.51171875,62673.60546875,25468379421,25468379421.0,25468379421.0,25468379421.0,25468379421.0,18484836408.666668
62029.015625,63203.359375,61752.74609375,62844.41015625,20151616992,20151616992.0,20151616992.0,20151616992.0,20151616992.0,20984407607.333332
60173.921875,62187.703125,59419.38671875,62034.33203125,29756701685,29756701685.0,29756701685.0,29756701685.0,29756701685.0,25125566032.666668
56977.703125,60399.67578125,56777.8046875,60147.13671875,41149609230,41149609230.0,41149609230.0,41149609230.0,41149609230.0,30352642635.666668
56662.375,57497.15234375,53717.375,57022.80859375,55417544033,55417544033.0,55417544033.0,55417544033.0,55417544033.0,42107951649.333336
58303.5390625,58472.546875,56038.9609375,56659.07421875,20610320577,20610320577.0,20610320577.0,20610320577.0,20610320577.0,39059157946.666664
55849.109375,58371.12109375,55793.32421875,58239.4296875,20553359505,20553359505.0,20553359505.0,20553359505.0,20553359505.0,32193741371.666668
56705.09765625,58131.3359375,54321.01953125,55849.57421875,39766159899,39766159899.0,39766159899.0,39766159899.0,39766159899.0,26976613327.0
58009.2265625,58239.1953125,56316.875,56704.59765625,27849512607,27849512607.0,27849512607.0,27849512607.0,27849512607.0,29389677337.0
57742.49609375,59359.43359375,57178.4140625,58033.8828125,26175260526,26175260526.0,26175260526.0,26175260526.0,26175260526.0,31263644344.0
57344.9140625,59299.43359375,57120.37890625,57729.890625,28707803842,28707803842.0,28707803842.0,28707803842.0,28707803842.0,27577525658.333332
57899.46484375,58532.5546875,56590.17578125,57341.1953125,25604805221,25604805221.0,25604805221.0,25604805221.0,25604805221.0,26829289863.0
59231.953125,59787.078125,57796.44140625,57908.73828125,17080061806,17080061806.0,17080061806.0,17080061806.0,17080061806.0,23797556956.333332
60787.79296875,61329.52734375,59225.25,59225.25,22223416061,22223416061.0,22223416061.0,22223416061.0,22223416061.0,21636094362.666668
64870.15234375,64870.15234375,60704.9296875,60815.45703125,38094526099,38094526099.0,38094526099.0,38094526099.0,38094526099.0,25799334655.333332
65097.1484375,65354.33984375,62487.96875,64784.41796875,41617346768,41617346768.0,41617346768.0,41617346768.0,41617346768.0,33978429642.666668
64118.79296875,66066.734375,63896.0859375,65091.83203125,32525071311,32525071311.0,32525071311.0,32525071311.0,32525071311.0,37412314726.0
63974.06640625,65104.66015625,63246.1640625,64104.73828125,27239305337,27239305337.0,27239305337.0,27239305337.0,27239305337.0,33793907805.333332
66710.15625,67442.640625,63329.34375,63972.32421875,37003855410,37003855410.0,37003855410.0,37003855410.0,37003855410.0,32256077352.666668
67163.6484375,67610.734375,66299.6171875,66709.921875,19029581250,19029581250.0,19029581250.0,19029581250.0,19029581250.0,27757580665.666668
68154.5234375,68372.90625,65842.296875,67164.9140625,26652190004,26652190004.0,26652190004.0,26652190004.0,26652190004.0,27561875554.666668
67585.25,68480.0625,66611.296875,68152.9765625,42649109453,42649109453.0,42649109453.0,42649109453.0,42649109453.0,29443626902.333332
65927.671875,67779.015625,65484.4609375,67584.8046875,35605668666,35605668666.0,35605668666.0,35605668666.0,35605668666.0,34968989374.333336
