Close,High,Low,Open,Volume,CPIAUCSL,Inflation,Return,Real_return,Log_Return,rv
52122.546875,52356.96484375,51233.70703125,51661.96875,17595377311,310.967,0.0040975401843086345,0.008895163192163213,0.004778044777376866,0.008855834280713763,
51779.14453125,52483.32421875,51711.8203125,52134.8125,21362184346,310.967,0.0040975401843086345,-0.006588364620277343,-0.010642297562669545,-0.006610163694046543,
52284.875,52945.05078125,50792.3125,51777.7265625,33353758256,310.967,0.0040975401843086345,0.009767068832988945,0.005646392329214933,0.009719679337319471,
51839.1796875,52368.81640625,50671.7578125,52273.53515625,28624907020,310.967,0.0040975401843086345,-0.008524364120598982,-0.0125703965997076,-0.00856090431522995,
51304.97265625,52009.61328125,50926.29296875,51854.64453125,25413900611,310.967,0.0040975401843086345,-0.010305082651198116,-0.014343848340533816,-0.010358547640014263,
50731.94921875,51497.93359375,50561.77734375,51283.90625,21427078270,310.967,0.0040975401843086345,-0.011168964874795462,-0.015204205217255962,-0.011231806115512574,
51571.1015625,51684.1953125,50585.4453125,50736.37109375,15174077879,310.967,0.0040975401843086345,0.016540904827679226,0.012392585526189492,0.016405594130217752,
51733.23828125,51950.02734375,51306.171875,51565.21484375,15413239245,310.967,0.0040975401843086345,0.003143945229742817,-0.0009497035062856485,0.0031390133682369275,
54522.40234375,54938.17578125,50931.03125,51730.5390625,34074411896,310.967,0.0040975401843086345,0.053914352844811164,0.04961351927160207,0.052511187656945416,
57085.37109375,57537.83984375,54484.19921875,54519.36328125,49756832031,310.967,0.0040975401843086345,0.04700762695380023,0.04273497847790275,0.045936216440473146,
62504.7890625,63913.1328125,56738.42578125,57071.09765625,83239156760,310.967,0.0040975401843086345,0.09493531994124749,0.09046708723164976,0.09069529297704289,
61198.3828125,63585.64453125,60498.73046875,62499.18359375,65496611844,310.967,0.0040975401843086345,-0.020900898468654838,-0.0248964245529123,-0.02112241427001975,0.4998944280048368
62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423,312.345,0.004431338373525273,0.020298739001094468,0.015797397015970605,0.0200954657884248,
62029.84765625,62458.69921875,61657.2890625,62431.65234375,23888473685,312.345,0.004431338373525273,-0.006578811548619723,-0.010961575472121066,-0.006600547312091193,
63167.37109375,63230.2109375,61435.0234375,62031.578125,26253811450,312.345,0.004431338373525273,0.01833832389535761,0.013845630846556434,0.01817220465901261,
68330.4140625,68537.03125,62386.51953125,63137.00390625,70670471105,312.345,0.004431338373525273,0.08173591649219114,0.0769635266894848,0.0785670808490068,
63801.19921875,69170.625,59323.91015625,68341.0546875,102802940877,312.345,0.004431338373525273,-0.06628402455760396,-0.07040338172406946,-0.06858298181492034,
66106.8046875,67637.9296875,62848.671875,63776.05078125,68750229073,312.345,0.004431338373525273,0.03613733749494208,0.03156611896713457,0.03549970020086634,
66925.484375,68029.921875,65655.53125,66099.7421875,46989543159,312.345,0.004431338373525273,0.012384196927533564,0.007917772226109898,0.012308140052515397,
68300.09375,70083.0546875,66230.453125,66938.09375,59202881172,312.345,0.004431338373525273,0.020539401213709896,0.01603699747786491,0.020331312236987975,
68498.8828125,68673.0546875,68053.125,68299.2578125,21609650379,312.345,0.004431338373525273,0.0029105240064184468,-0.0015141048561562176,0.002906296632019191,
69019.7890625,70005.203125,68239.9765625,68500.2578125,35683977532,312.345,0.004431338373525273,0.007604594828588107,0.0031592567195297683,0.007575825657206857,
72123.90625,72850.7109375,67194.8828125,69020.546875,65716656765,312.345,0.004431338373525273,0.04497430707429584,0.04036410170795923,0.04399229858274628,
71481.2890625,72825.65625,68728.8515625,72125.125,62554434520,312.345,0.004431338373525273,-0.008909905479502545,-0.013282385110197081,-0.008949836049347838,
